field,n_distinct,modal_value,stability,entropy
header_order_hash,30,00c0699f97f5b54c,0.03333333333333333,4.9068905955652395
priority_urgency,2,4.0,0.6,0.9709505944517833
n_headers,3,15,0.9,0.560825176990402
ch_is_headless,2,False,0.9666666666666667,0.21084230031564677
ua_version,2,145,0.9666666666666667,0.21084230031564677
ch_any_incoherence,2,False,0.9666666666666667,0.21084230031564677
ua_family,2,chrome,0.9666666666666667,0.21084230031564677
ch_brand_count,1,3,1.0,-1.4428232973175175e-12
ch_brand_matches_ua,1,True,1.0,-1.4428232973175175e-12
has_sec_fetch_mode,1,True,1.0,-1.4428232973175175e-12
has_sec_ch_ua,1,True,1.0,-1.4428232973175175e-12
has_priority,1,True,1.0,-1.4428232973175175e-12
upgrade_insecure,1,,1.0,-1.4428232973175175e-12
accept_encoding,1,"gzip, deflate, br, zstd",1.0,-1.4428232973175175e-12
accept,1,*/*,1.0,-1.4428232973175175e-12
priority_expected,1,True,1.0,-1.4428232973175175e-12
priority_incr,1,True,1.0,-1.4428232973175175e-12
sf_mode,1,cors,1.0,-1.4428232973175175e-12
sf_dest,1,empty,1.0,-1.4428232973175175e-12
ua_os,1,windows,1.0,-1.4428232973175175e-12
sf_site,1,same-origin,1.0,-1.4428232973175175e-12
sf_combo,1,cors|empty|same-origin,1.0,-1.4428232973175175e-12
ch_platform_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_mobile_matches_ua,1,True,1.0,-1.4428232973175175e-12
has_upgrade_insecure_requests,1,False,1.0,-1.4428232973175175e-12
