field,n_distinct,modal_value,stability,entropy
header_order_hash,30,137482f31c7132f6,0.03333333333333333,4.9068905955652395
priority_urgency,2,4,0.7666666666666667,0.7837769474818157
ua_os,1,linux,1.0,-1.4428232973175175e-12
has_sec_fetch_mode,1,True,1.0,-1.4428232973175175e-12
has_sec_ch_ua,1,True,1.0,-1.4428232973175175e-12
has_priority,1,True,1.0,-1.4428232973175175e-12
upgrade_insecure,1,,1.0,-1.4428232973175175e-12
accept_encoding,1,"gzip, deflate, br, zstd",1.0,-1.4428232973175175e-12
accept,1,*/*,1.0,-1.4428232973175175e-12
priority_expected,1,True,1.0,-1.4428232973175175e-12
priority_incr,1,True,1.0,-1.4428232973175175e-12
ua_version,1,147,1.0,-1.4428232973175175e-12
ua_family,1,headless-chrome,1.0,-1.4428232973175175e-12
n_headers,1,14,1.0,-1.4428232973175175e-12
ch_any_incoherence,1,False,1.0,-1.4428232973175175e-12
ch_platform_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_mobile_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_brand_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_brand_count,1,3,1.0,-1.4428232973175175e-12
ch_is_headless,1,True,1.0,-1.4428232973175175e-12
sf_combo,1,cors|empty|same-origin,1.0,-1.4428232973175175e-12
sf_site,1,same-origin,1.0,-1.4428232973175175e-12
sf_dest,1,empty,1.0,-1.4428232973175175e-12
sf_mode,1,cors,1.0,-1.4428232973175175e-12
has_upgrade_insecure_requests,1,False,1.0,-1.4428232973175175e-12
