field,n_distinct,modal_value,stability,entropy,discriminative
ja3,30,bff5ea149bfa5bc77f55503adfe7d064,0.03333333333333333,4.9068905955652395,True
ak_stream_count,10,8,0.2,3.057425813748624,True
ak_max_header_list,2,262144,0.7666666666666667,0.7837769474818157,True
ak_header_table,2,65536,0.8,0.7219280948844771,True
ak_init_window,2,6291456,0.8666666666666667,0.5665095065500199,True
ak_enable_push,2,0,0.8666666666666667,0.5665095065500199,True
ak_window_update,2,15663105,0.8666666666666667,0.5665095065500199,True
alpn_h2_position,2,0,0.8666666666666667,0.5665095065500199,True
supported_ver_count,1,2,1.0,-1.4428232973175175e-12,False
alpn_has_h2,1,True,1.0,-1.4428232973175175e-12,False
alpn_has_http11,1,True,1.0,-1.4428232973175175e-12,False
alpn_preference,1,h2_first,1.0,-1.4428232973175175e-12,False
supported_ver_str,1,"2570,772,771",1.0,-1.4428232973175175e-12,False
supported_ver_names,1,"TLS 1.3,TLS 1.2",1.0,-1.4428232973175175e-12,False
supported_ver_has_grease,1,True,1.0,-1.4428232973175175e-12,False
supported_ver_has_tls13,1,True,1.0,-1.4428232973175175e-12,False
supported_ver_has_tls12,1,True,1.0,-1.4428232973175175e-12,False
supported_ver_has_tls11,1,False,1.0,-1.4428232973175175e-12,False
alpn_offered_str,1,"h2,http/1.1",1.0,-1.4428232973175175e-12,False
supported_ver_profile,1,TLS1.3+TLS1.2,1.0,-1.4428232973175175e-12,False
supported_ver_13_before_12,1,True,1.0,-1.4428232973175175e-12,False
ak_pseudo_order,1,"m,a,s,p",1.0,-1.4428232973175175e-12,False
alpn_count,1,2,1.0,-1.4428232973175175e-12,False
tls_version,1,TLS 1.3,1.0,-1.4428232973175175e-12,False
negotiated_proto,1,h2,1.0,-1.4428232973175175e-12,False
has_pq_crypto,1,True,1.0,-1.4428232973175175e-12,False
ja4_raw,1,t13d1516h2_8daaf6152771_d8a2da3f94cd,1.0,-1.4428232973175175e-12,False
ja4_a,1,t13d1516h2,1.0,-1.4428232973175175e-12,False
ja4_b,1,8daaf6152771,1.0,-1.4428232973175175e-12,False
ja4_c,1,d8a2da3f94cd,1.0,-1.4428232973175175e-12,False
ja4_protocol,1,t,1.0,-1.4428232973175175e-12,False
ja4_version,1,13,1.0,-1.4428232973175175e-12,False
ja4_sni,1,d,1.0,-1.4428232973175175e-12,False
ja4_cipher_count,1,15,1.0,-1.4428232973175175e-12,False
ja4_ext_count,1,16,1.0,-1.4428232973175175e-12,False
ja4_alpn_code,1,h2,1.0,-1.4428232973175175e-12,False
cipher_count,1,15,1.0,-1.4428232973175175e-12,False
cipher_seq_str,1,"2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53",1.0,-1.4428232973175175e-12,False
cipher_no_grease_str,1,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,1.0,-1.4428232973175175e-12,False
curve_count,1,4,1.0,-1.4428232973175175e-12,False
curve_seq_str,1,"2570,4588,29,23,24",1.0,-1.4428232973175175e-12,False
sig_count,1,8,1.0,-1.4428232973175175e-12,False
sig_seq_str,1,"1027,2052,1025,1283,2053,1281,2054,1537",1.0,-1.4428232973175175e-12,False
cipher_has_grease,1,True,1.0,-1.4428232973175175e-12,False
curve_has_grease,1,True,1.0,-1.4428232973175175e-12,False
alpn_first,1,h2,1.0,-1.4428232973175175e-12,False
