field,n_distinct,modal_value,stability,entropy
header_order_hash,30,b07f58a11553746d,0.03333333333333333,4.9068905955652395
priority_urgency,2,4,0.6,0.9709505944517833
ua_version,2,147,0.6666666666666666,0.9182958340516041
n_headers,2,15,0.9666666666666667,0.21084230031564677
has_sec_fetch_mode,2,True,0.9666666666666667,0.21084230031564677
has_sec_ch_ua,2,True,0.9666666666666667,0.21084230031564677
has_priority,2,True,0.9666666666666667,0.21084230031564677
accept_encoding,2,"gzip, deflate, br, zstd",0.9666666666666667,0.21084230031564677
accept,2,*/*,0.9666666666666667,0.21084230031564677
ua_os,2,linux,0.9666666666666667,0.21084230031564677
ua_family,2,headless-chrome,0.9666666666666667,0.21084230031564677
ch_brand_count,2,2,0.9666666666666667,0.21084230031564677
sf_combo,2,cors|empty|same-origin,0.9666666666666667,0.21084230031564677
sf_site,2,same-origin,0.9666666666666667,0.21084230031564677
sf_dest,2,empty,0.9666666666666667,0.21084230031564677
sf_mode,2,cors,0.9666666666666667,0.21084230031564677
ch_any_incoherence,1,False,1.0,-1.4428232973175175e-12
ch_platform_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_mobile_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_brand_matches_ua,1,True,1.0,-1.4428232973175175e-12
priority_incr,1,True,1.0,-1.4428232973175175e-12
priority_expected,1,True,1.0,-1.4428232973175175e-12
ch_is_headless,1,False,1.0,-1.4428232973175175e-12
upgrade_insecure,1,,1.0,-1.4428232973175175e-12
has_upgrade_insecure_requests,1,False,1.0,-1.4428232973175175e-12
